Address,Data
92,-957294422
96,32
92,-957294422
96,32
92,-957294422
96,32
92,-957294422
96,32
92,-957294422
96,32
92,-957294422
96,32
92,-957294422
96,32
92,-957294422
96,32
92,-957294422
96,32
92,-957294422
96,32
92,-957294422
96,32
92,-957294422
96,32
92,-957294422
96,32
92,-957294422
96,32
92,-957294422
96,32
92,-957294422
96,32
92,-957294422
96,32
92,-957294422
96,32
92,-957294422
96,32
92,-957294422
96,32
92,-957294422
96,32
92,-957294422
96,32
92,-957294422
96,32
92,-957294422
96,32
92,-957294422
96,32
92,-957294422
96,32
92,-957294422
96,32
92,-957294422
96,32
92,-957294422
96,32
92,-957294422
96,32
92,-957294422
96,32
92,-957294422
96,32
92,-957294422
96,32
92,-957294422
96,32
92,-957294422
96,32
92,-957294422
96,32
92,-957294422
96,32
92,-957294422
96,32
92,-957294422
96,32
92,-957294422
96,32
92,-957294422
96,32
92,-957294422
96,32
92,-957294422
96,32
92,-957294422
96,32
92,-957294422
96,32
92,-957294422
96,32
92,-957294422
96,32
92,-957294422
96,32
92,-957294422
96,32
92,-957294422
96,32
92,-957294422
96,32
92,-957294422
96,32
92,-957294422
96,32
92,-957294422
96,32
92,-957294422
96,32
92,-957294422
96,32
